Example,Translation
"""Exam tensions starting agide, nightly odabeku now."",","""ಪರೀಕ್ಷೆಯ ಒತ್ತಡ ಆರಂಭವಾಗಿದೆ, ಈಗ ರಾತ್ರಿ ಪ್ರತಿ ಓದಬೇಕು."""
"""My mobile charge illa, charger itkondu baa."",","""ನನ್ನ ಫೋನ್ ಚಾರ್ಜ್ ಇಲ್ಲ, ಚಾರ್ಜರ್ ಇಟ್ಕೊಂಡು ಬಾ."""
"""Sunday bittre, cleaning madona house full."",","""ಭಾನುವಾರ ಬಿಟ್ಟ್ರೆ, ಮನೆ ಪೂರ್ತಿ ಸ್ವಚ್ಛ ಮಾಡೋಣ."""
"""He's very fast odiyutte, catch madoke kastha."",","""ಅವನು ತುಂಬಾ ವೇಗವಾಗಿ ಓಡುತ್ತಿದ್ದಾನೆ, ಹಿಡಿಯೋಕೆ ಕಷ್ಟ."""
"""Water heater switch on madidya? Bath tumba cold aagutte."",","""ವಾಟರ್ ಹೀಟರ್ ಸ್ವಿಚ್ ಆನ್ ಮಾಡಿದ್ಯಾ? ಸ್ನಾನ ತುಂಬಾ ಚಳಿಯಾಗುತ್ತೆ."""
"""Nan friend birthday ide, gift enu kodona?"",","""ನನ್ನ ಗೆಳೆಯನ ಜನ್ಮದಿನ ಇದೆ, ಗಿಫ್ಟ್ ಏನು ಕೊಡೋಣ?"""
"""We should start savings more, future think madona."",","""ನಾವು ಹೆಚ್ಚು ಉಳಿತಾಯ ಮಾಡುವಂತೆ ಆರಂಭಿಸಬೇಕು, ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಯೋಚಿಸೋಣ."""
"""Yoga classes started, morning 5am wake up aagutte."",","""ಯೋಗಾ ತರಗತಿಗಳು ಆರಂಭವಾಗಿವೆ, ಬೆಳಗ್ಗೆ 5ಗಂಟೆಗೆ ಎಚ್ಚರವಾಗುತ್ತೆ."""
"""Power cut ide, candle hakona please."",","""ಪವರ್ ಕಟ್ ಇದೆ, ದಯವಿಟ್ಟು ಮೇಣ ಹಚ್ಚೋಣ."""
"""He's not answering calls, message madona bekadre."",","""ಅವನು ಕರೆಗಳಿಗೆ ಉತ್ತರಿಸುತ್ತಿಲ್ಲ, ಸಂದೇಶ ಮಾಡೋಣ ಬೇಕಾದರೆ."""
"""Ee book odi, really thought-provoking aagutte."",","""ಈ ಪುಸ್ತಕವನ್ನು ಓದಿ, ನಿಜವಾಗಿಯೂ ಚಿಂತನೆ ಮೂಡಿಸುತ್ತೆ."""
"""We need to buy groceries, list ready madona today."",","""ನಾವು ಗ್ರೋಸರೀಸ್ ಖರೀದಿ ಮಾಡಬೇಕು, ಇಂದು ಪಟ್ಟಿ ಸಿದ್ಧ ಮಾಡೋಣ."""
"""He's really good at drawing, talent show madbeku."",","""ಅವನು ಡ್ರಾಯಿಂಗ್ ನಲ್ಲಿ ತುಂಬಾ ಒಳ್ಳೆಯವನು, ಪ್ರತಿಭೆ ತೋರಿಸಬೇಕು.""
}"
" ""This weekend nanu cinema nodona anta plan maadidini."",
","""ಈ ವೀಕೆಂಡ್ ನಾನು ಚಿತ್ರ ನೋಡೋಣ ಅಂತ ಪ್ಲಾನ್ ಮಾಡಿದ್ದೀನಿ.""
    "
" ""Breakfast ge idli and chutney tumba chennagidde."",
","""ಬ್ರೇಕ್‌ಫಾಸ್ಟ್‌ಗೆ ಇಡ್ಲಿ ಮತ್ತು ಚಟ್ನಿ ತುಂಬಾ ಚೆನ್ನಾಗಿತ್ತು.""
    "
" ""My new project ondu varsha time tegabahudu complete aagalu."",
","""OpenAI Translation"": ""ನನ್ನ ಹೊಸ ಪ್ರಾಜೆಕ್ಟ್ ಒಂದು ವರ್ಷ ಸಮಯ ತೆಗೆಯಬಹುದು ಪೂರ್ಣಗೊಳಿಸಲು.""
    "
" ""Sari dress selection ge help maadu please."",
","""ಸಾರಿ ಡ್ರೆಸ್ ಆಯ್ಕೆಗೆ ಸಹಾಯ ಮಾಡು ದಯವಿಟ್ಟು.""
    "
" ""Next week work indu thumba busy irutte, sadyavadru meet aagalva?"",
","""ಮುಂದಿನ ವಾರ ಕೆಲಸದಿಂದ ತುಂಬಾ ಬ್ಯೂಸಿ ಇರುತ್ತೇನೆ, ಸಾಧ್ಯವಾದರೆ ಮೀಟ್ ಆಗಲ್ವಾ?""
    "
" ""Bus missed aadmele walk madi office ge hogbahudu."",
","""ಬಸ್ ಮಿಸ್ ಆದಮೇಲೆ ವಾಕ್ ಮಾಡಿ ಆಫೀಸ್‌ಗೆ ಹೋಗಬಹುದು.""
    "
" ""Adige madona dinner ge yen adru visesha plan madidira?"",
","""ಅಡಿಗೆ ಮಾಡೋಣ ಡಿನ್ನರ್‌ಗೆ ಏನಾದರೂ ವಿಶೇಷ ಪ್ಲಾನ್ ಮಾಡಿದಿರಾ?""
    "
" ""Coffee shop nalli meetu madona next week."",
","""ಕಾಫಿ ಶಾಪ್‌ನಲ್ಲಿ ಮುಂದಿನ ವಾರ ಮೀಟ್ ಮಾಡೋಣ.""
    "
" ""Nanu innu bike repair ge kalsidini, late aagathe."",
","""ನಾನು ಇಂದು ಬೈಕ್ ರಿಪೇರ್ ಗೆ ಕಳಿಸಿದ್ದೀನಿ, ಲೇಟ್ ಆಗದೆ.""
    "
" ""Weekend nalli outing plan madona? Farm house hoogona."",
","""ವೀಕೆಂಡ್‌ನಲ್ಲಿ ಔಟಿಂಗ್ ಪ್ಲಾನ್ ಮಾಡೋಣ? ಫಾರ್ಮ್ ಹೌಸ್ ಹೋಗೋಣ.""
    
    {
{
"
" ""Office indu manege baralu late aagtide, dinner maadikondu iru."",
","""ಆಫೀಸ್‌ನಿಂದ ಮನೆಗೆ ಬರಲು ಲೇಟ್ ಆಗ್ತಿದೆ, ಡಿನ್ನರ್ ಮಾಡಿಕೊಂಡಿರು.""
    "
" ""Cricket match nanu miss madbeda, record maadi"",
","""ಕ್ರಿಕೆಟ್ ಪಂದ್ಯ ನಾನು ಮಿಸ್ ಮಾಡ್ಬೇಡ, ರೆಕಾರ್ಡ್ ಮಾಡಿ.""
    "
" ""Nanna birthday adake namage dinner treat ninindule."",
","""ನನ್ನ ಜನ್ಮದಿನ ಅದಕ್ಕೆ ನಮಗೆ ಡಿನ್ನರ್ ಟ್ರೀಟ್ ನಿನ್ನಿಂದಲೇ.""
    "
" ""Navu eega park nalli cricket aadutiddare, banni join mado."",
","""ನಾವು ಈಗ ಪಾರ್ಕ್‌ನಲ್ಲಿ ಕ್ರಿಕೆಟ್ ಆಡುತ್ತಿದ್ದಾರೆ, ಬನ್ನಿ ಜಾಯಿನ್ ಮಾಡೋ.""
    "
" ""Tommorrow ninna jote library ge hogona books return maadakke."",
","""ನಾಳೆ ನಿನ್ನ ಜೊತೆ ಲೈಬ್ರರಿಗೆ ಹೋಗೋಣ ಪುಸ್ತಕಗಳನ್ನು ರಿಟರ್ನ್ ಮಾಡಕ್ಕೆ.""
    "
" ""Evening walk ge hogona, hava tumba fresh irutte."",
","""ಸಂಜೆ ವಾಕ್‌ಗೆ ಹೋಗೋಣ, ಹವಾ ತುಂಬಾ ಫ್ರೆಶ್ ಇರುತ್ತೆ.""
    "
" ""Late night cinema watching session plan madona? Snacks ready madtini."",
","""ಲೇಟ್ ನೈಟ್ ಮೂವಿ ವಾಚಿಂಗ್ ಸೆಷನ್ ಪ್ಲಾನ್ ಮಾಡೋಣ? ಸ್ನಾಕ್ಸ್ ರೆಡಿ ಮಾಡ್ತೀನಿ.""
    "
" ""Coffee tumba strong irutte, swalpa less strong maado."",
","""ಕಾಫಿ ತುಂಬಾ ಸ್ಟ್ರಾಂಗ್ ಇರುತ್ತೆ, ಸ್ವಲ್ಪ ಲೆಸ್ ಸ್ಟ್ರಾಂಗ್ ಮಾಡೋ.""
    "
" ""Online classes start agide, link share madteera?"",
","""ಆನ್‌ಲೈನ್ ತರಗತಿಗಳು ಆರಂಭವಾಗಿವೆ, ಲಿಂಕ್ ಶೇರ್ ಮಾಡ್ತೀರಾ?""
    }
]"
I am feeling very happy indu because I won the match.,ನಾನು ಪಂದ್ಯ ಗೆದ್ದಿದ್ದರಿಂದ ತುಂಬಾ ಸಂತೋಷವಾಗಿದೆ.
"We should meet soon, bahaLa dina aayithu.","ನಾವು ಬೇಗ ಭೇಟಿಯಾಗಬೇಕು, ಬಹಳ ದಿನಗಳಾಯಿತು."
"This new movie is super hit anthe, weekend nalli nodona?","ಈ ಹೊಸ ಚಿತ್ರ ಸೂಪರ್ ಹಿಟ್ ಅಂತಾರೆ, ವೀಕೆಂಡ್ ನಲ್ಲಿ ನೋಡೋಣವೇ?"
"Coffee tastes very good aagi ithu, bere enu hakirodu?","ಕಾಫಿ ತುಂಬಾ ಚೆನ್ನಾಗಿತ್ತು, ಬೇರೆ ಏನು ಹಾಕಿದ್ದೀರಾ?"
"My phone battery low agide, charger idya?","ನನ್ನ ಫೋನ್ ಬ್ಯಾಟರಿ ಕಡಿಮೆ ಆಗಿದೆ, ಚಾರ್ಜರ್ ಇದ್ಯಾ?"
"This new movie is super hit anthe, we should definitely watch it.","ಈ ಹೊಸ ಚಿತ್ರ ಸೂಪರ್ ಹಿಟ್ ಅಂತಾರೆ, ನಾವು ಖಂಡಿತವಾಗಿಯೂ ನೋಡಲೇಬೇಕು."
"My mobile battery low agide, charger haki please.","ನನ್ನ ಫೋನ್ ಬ್ಯಾಟರಿ ಕಡಿಮೆ ಆಗಿದೆ, ಚಾರ್ಜರ್ ಹಾಕಿ ದಯವಿಟ್ಟು."
"Weekend nalli we are planning for a picnic, join madtira?","ವೀಕೆಂಡ್ ನಲ್ಲಿ ನಾವು ಪಿಕ್ನಿಕ್ ಗೆ ಹೋಗುವ ಯೋಜನೆ ಮಾಡುತ್ತಿದ್ದೇವೆ, ಜಾಯಿನ್ ಮಾಡ್ತೀರಾ?"
Coffee beku antha feel aagutte in the morning.,ಬೆಳಗಿನ ಸಮಯದಲ್ಲಿ ಕಾಫಿ ಬೇಕು ಅಂತ ಫೀಲ್ ಆಗುತ್ತೆ.
"""I am feeling very happy indu, celebration madona?"",","""ನಾನು ಇಂದ ತುಂಬಾ ಸಂತೋಷವಾಗಿದ್ದೇನೆ, ಸೆಲೆಬ್ರೇಶನ್ ಮಾಡೋಣವೇ?"""
"""The cinema was super hit, weekend nalli nodona?"",","""ಚಿತ್ರ ಸೂಪರ್ ಹಿಟ್ ಆಗಿತ್ತು, ವೀಕೆಂಡ್ ನಲ್ಲಿ ನೋಡೋಣವೇ?"""
"""My head is hurting thumba, doctor hatra hogona?"",","""ನನ್ನ ತಲೆ ತುಂಬಾ ನೋವುತ್ತಿದೆ, ಡಾಕ್ಟರ್ ಹತ್ರ ಹೋಗೋಣವೇ?"""
"""This book is very interesting, willing read madtha idira?"",","""ಈ ಪುಸ್ತಕ ತುಂಬಾ ರೋಚಕವಾಗಿದೆ, ಓದುವ ಆಸಕ್ತಿ ಮಾಡ್ತಾ ಇದೀರಾ?"""
"""We should buy vegetables while getting back, market hogona?"",","""ನಾವು ವಾಪಾಸ್ ಬರುವಾಗ ತರಕಾರಿಗಳನ್ನು ಖರೀದಿಸಬೇಕು, ಮಾರ್ಕೆಟ್ ಹೋಗೋಣವೇ?"""
"""The internet is very slow indu, service provider call madona?"",","""ಇಂಟರ್ನೆಟ್ ಇಂದ ತುಂಬಾ ನಿಧಾನವಾಗಿದೆ, ಸೇವಾ ಪ್ರದಾಯಕರಿಗೆ ಕರೆ ಮಾಡೋಣವೇ?"""
"""I forgot to bring my lunch, hotel indu oota madona?"",","""ನಾನು ನನ್ನ ಲಂಚ್ ತರಲು ಮರೆತೆ, ಹೋಟೆಲ್ ಇಂದ ಊಟ ಮಾಡೋಣವೇ?"""
"""It's getting late, bus hogi manege barona?"",","""ತಡವಾಗುತ್ತಿದೆ, ಬಸ್ ಹೊಗಿ ಮನೆಗೆ ಬರೋಣ?"""
"""The park looks very beautiful in the morning, walk madona?"",","""ಪಾರ್ಕ್ ಬೆಳಗ್ಗೆ ತುಂಬಾ ಸುಂದರವಾಗಿ ಕಾಣುತ್ತದೆ, ವಾಕ್ ಮಾಡೋಣವೇ?"""
"""My laptop is not working properly, service center ge oyona?"",","""ನನ್ನ ಲ್ಯಾಪ್ಟಾಪ್ ಸರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ, ಸರ್ವೀಸ್ ಸೆಂಟರ್ ಗೆ ಹೋಯೋಣವೇ?"""
"""It's my birthday naale, gift kodthira?"",","""ನಾಳೆ ನನ್ನ ಹುಟ್ಟುಹಬ್ಬ, ಉಡುಗೊರೆ ಕೊಡ್ತೀರಾ?"""
"""The coffee smells good, kudiyo?"",","""ಕಾಫಿಯ ಪರಿಮಳ ಚೆನ್ನಾಗಿದೆ, ಕುಡಿಯೋ?"""
"""It's very hot outside, AC on madona?"",","""ಹೊರಗೆ ತುಂಬಾ ಬಿಸಿಲು, ಏಸಿ ಆನ್ ಮಾಡೋಣವೇ?"""
"""Do you know cooking, aduge madthira?"",","""ನೀವು ಅಡುಗೆ ಮಾಡುವುದು ಗೊತ್ತಾ, ಅಡುಗೆ ಮಾಡ್ತೀರಾ?"""
"""This area is not safe night-alli, cab karedu barona?"",","""ಈ ಪ್ರದೇಶ ರಾತ್ರಿ-ಅಲ್ಲಿ ಸುರಕ್ಷಿತವಿಲ್ಲ, ಕ್ಯಾಬ್ ಕರೆದು ಬರೋಣ?"""
"""I will finish work soon, then namma manege barta idini."",","""ನಾನು ಕೆಲಸ ಶೀಘ್ರವಾಗಿ ಮುಗಿಸುತ್ತೇನೆ, ನಂತರ ನಮ್ಮ ಮನೆಗೆ ಬರ್ತಿದ್ದೀನಿ."""
"""I lost my mobile, police station ge report madona?"",","""ನಾನು ನನ್ನ ಫೋನ್ ಕಳೆದುಕೊಂಡೆ, ಪೊಲೀಸ್ ಸ್ಟೇಶನ್ ಗೆ ವರದಿ ಮಾಡೋಣವೇ?"""
"""He is going to USA, viday party kodona?"",","""ಅವನು ಯು.ಎಸ್.ಎ ಗೆ ಹೋಗುತ್ತಿದ್ದಾನೆ, ವಿದಾಯ ಪಾರ್ಟಿ ಕೊಡೋಣವೇ?"""
"""It's very late, now manege barona?"",","""ತುಂಬಾ ತಡವಾಯಿತು, ಈಗ ಮನೆಗೆ ಬರೋಣಾ?"""
"""She sings beautifully, avlannu program ge karedukoNa?"",","""ಅವಳು ಸುಂದರವಾಗಿ ಹಾಡುತ್ತಾಳೆ, ಅವಳನ್ನು ಪ್ರೋಗ್ರಾಂಗೆ ಕರೆದುಕೊಳ್ಳೋಣ?"""
"""Let's watch a cinema tonight, selection madidira?"",","""ಇಂದು ರಾತ್ರಿ ಚಿತ್ರ ನೋಡೋಣ, ಆಯ್ಕೆ ಮಾಡಿದ್ದೀರಾ?""
}"
"""I have a meetuing at 10am matte, breakfast miss aagutte."",","""ನನಗೆ ಬೆಳಗ್ಗೆ 10 ಗಂಟೆಗೆ ಸಭೆ ಇದೆ, ತಿಂಡಿ ಮಿಸ್ ಆಗುತ್ತೆ."""
"""My head hurts a lot, doctor hatra hogbeku."",","""ನನ್ನ ತಲೆ ಬಹಳ ನೋವಾಗುತ್ತಿದೆ, ಡಾಕ್ಟರ್ ಹತ್ರ ಹೋಗಬೇಕು."""
"""Weekend nalli cinema nodona? I heard it's good."",","""ವೀಕೆಂಡ್ ನಲ್ಲಿ ಮೂವಿ ನೋಡೋಣವೇ? ಅದು ಒಳ್ಳೆಯದು ಎಂದು ಕೇಳಿದೆ."""
"""I missed the bus today, so late agide office ge."",","""ನಾನು ಇಂದು ಬಸ್ ಮಿಸ್ ಮಾಡಿದೆ, ಅದಕ್ಕೆ ಆಫೀಸ್ ಗೆ ತಡವಾಗಿದೆ."""
"""Dinner ge enu madona tonight? I'm thinking of something light."",","""ಇಂದು ರಾತ್ರಿ ಡಿನ್ನರ್ ಗೆ ಏನು ಮಾಡೋಣ? ನಾನು ಏನಾದರೂ ಹಗುರವಾದ ಆಹಾರ ಮಾಡುವ ಬಗ್ಗೆ ಯೋಚಿಸುತ್ತಿದ್ದೇನೆ."""
"""Coffee na kudibeku, but sugar kammi idde irbeku."",","""ಕಾಫಿ ಕುಡಿಬೇಕು, ಆದರೆ ಸಕ್ಕರೆ ಕಮ್ಮಿ ಇದ್ದೇ ಇರಬೇಕು."""
"""Exam tensions starting agide, nightly odabeku now."",","""ಪರೀಕ್ಷೆಯ ಒತ್ತಡ ಆರಂಭವಾಗಿದೆ, ಈಗ ರಾತ್ರಿ ಪ್ರತಿ ಓದಬೇಕು."""
"""My mobile charge illa, charger itkondu baa."",","""ನನ್ನ ಫೋನ್ ಚಾರ್ಜ್ ಇಲ್ಲ, ಚಾರ್ಜರ್ ಇಟ್ಕೊಂಡು ಬಾ."""
"""Sunday bittre, cleaning madona house full."",","""ಭಾನುವಾರ ಬಿಟ್ಟ್ರೆ, ಮನೆ ಪೂರ್ತಿ ಸ್ವಚ್ಛ ಮಾಡೋಣ."""
"""He's very fast odiyutte, catch madoke kastha."",","""ಅವನು ತುಂಬಾ ವೇಗವಾಗಿ ಓಡುತ್ತಿದ್ದಾನೆ, ಹಿಡಿಯೋಕೆ ಕಷ್ಟ."""
"""Water heater switch on madidya? Bath tumba cold aagutte."",","""ವಾಟರ್ ಹೀಟರ್ ಸ್ವಿಚ್ ಆನ್ ಮಾಡಿದ್ಯಾ? ಸ್ನಾನ ತುಂಬಾ ಚಳಿಯಾಗುತ್ತೆ."""
"""Nan friend birthday ide, gift enu kodona?"",","""ನನ್ನ ಗೆಳೆಯನ ಜನ್ಮದಿನ ಇದೆ, ಗಿಫ್ಟ್ ಏನು ಕೊಡೋಣ?"""
"""We should start savings more, future think madona."",","""ನಾವು ಹೆಚ್ಚು ಉಳಿತಾಯ ಮಾಡುವಂತೆ ಆರಂಭಿಸಬೇಕು, ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಯೋಚಿಸೋಣ."""
"""Yoga classes started, morning 5am wake up aagutte."",","""ಯೋಗಾ ತರಗತಿಗಳು ಆರಂಭವಾಗಿವೆ, ಬೆಳಗ್ಗೆ 5ಗಂಟೆಗೆ ಎಚ್ಚರವಾಗುತ್ತೆ."""
"""Power cut ide, candle hakona please."",","""ಪವರ್ ಕಟ್ ಇದೆ, ದಯವಿಟ್ಟು ಮೇಣ ಹಚ್ಚೋಣ."""
"""He's not answering calls, message madona bekadre."",","""ಅವನು ಕರೆಗಳಿಗೆ ಉತ್ತರಿಸುತ್ತಿಲ್ಲ, ಸಂದೇಶ ಮಾಡೋಣ ಬೇಕಾದರೆ."""
"""Ee book odi, really thought-provoking aagutte."",","""ಈ ಪುಸ್ತಕವನ್ನು ಓದಿ, ನಿಜವಾಗಿಯೂ ಚಿಂತನೆ ಮೂಡಿಸುತ್ತೆ."""
"""We need to buy groceries, list ready madona today."",","""ನಾವು ಗ್ರೋಸರೀಸ್ ಖರೀದಿ ಮಾಡಬೇಕು, ಇಂದು ಪಟ್ಟಿ ಸಿದ್ಧ ಮಾಡೋಣ."""
"""He's really good at drawing, talent show madbeku."",","""ಅವನು ಡ್ರಾಯಿಂಗ್ ನಲ್ಲಿ ತುಂಬಾ ಒಳ್ಳೆಯವನು, ಪ್ರತಿಭೆ ತೋರಿಸಬೇಕು.""
}"
